v_1, v_2, v_3, v_4, v_5, v_6, v_7, v_8, v_9, v_10, v_11, v_12, v_13, v_14, v_15, v_16, v_17, v_18, v_19, v_20, v_21, v_22, v_23, v_24, v_25, v_26, v_27, v_28, v_29, v_30, v_31, v_32, v_33, v_34, 
0.0236356, 0.0585312, -0.0237901, 0.0342262, -0.0836954, 0.291235, 0.0428728, 0.0677292, 0.000670116, 2.4831e-17, 0.0441699, 0.201721, -0.103356, -0.0747028, 0.587072, 0.103239, 0.404287, 0.248004, 0.472597, 0.0547956, -0.116897, 0.0746972, 0.057118, -0.0894521, -0.0469352, 0.0264752, 0.187959, 0.0556354, -0.0020679, 0.0537572, -0.0728255, 0.545248, -0.175603, -0.262406, 
0.0923995, 0.131764, 0.098531, -0.111713, 0.183793, -0.0179803, 0.202686, 0.0150848, 0.0189654, 6.56422e-18, -0.0758469, -0.291154, 0.0413344, 0.0686606, 0.0674975, 0.0252245, 0.014017, 0.141222, 0.00392288, -0.105599, 0.0309341, -0.189147, -0.0231679, -0.209382, -0.150356, -0.0956935, 0.000542625, -0.108938, -0.0261815, -0.0303361, 0.0293263, 0.0238945, 0.0722056, -0.14004, 
0.101403, -0.139669, 0.178794, -0.00257184, -0.162383, 0.0245193, -0.0436172, 0.111831, 0.0313454, -2.02111e-17, 0.00969128, -0.00634184, 0.0643914, 0.0653302, -0.0481561, -0.0234292, 0.0663423, -0.100516, 0.113153, -0.0744603, 0.198169, -0.05389, 0.00587157, -0.0257827, 0.155819, -0.00606166, -0.010114, 0.165268, -0.0547793, 0.0273138, 0.0731025, 0.138783, 0.150323, -0.0117524, 
0.147913, 0.0573051, 0.214624, -0.017907, 0.14025, -0.00622822, 0.226305, 0.0534157, -0.0241582, -1.86131e-17, -0.0562097, -0.315301, -0.0202489, -0.0210243, -0.065264, -0.26112, 0.171512, 0.257699, 0.0182808, 0.197773, 0.199729, 0.228639, -0.309372, 0.0220886, -0.067285, -0.0222687, 0.0385803, -0.163408, 0.00656783, -0.0690951, -0.118651, 0.044958, 0.261484, 0.00462758, 
0.101403, -0.139669, 0.178794, -0.00257184, -0.162383, 0.0245193, -0.0436172, 0.111831, 0.0313454, -2.02111e-17, 0.00969128, -0.00634184, 0.0643914, 0.0653302, -0.0481561, -0.0234292, 0.0663423, -0.100516, 0.113153, -0.0744603, 0.198169, -0.05389, 0.00587157, -0.0257827, 0.155819, -0.00606166, -0.010114, 0.165268, -0.0547793, 0.0273138, 0.0731025, 0.138783, 0.150323, -0.0117524, 
0.0923995, 0.131764, 0.098531, -0.111713, 0.183793, -0.0179803, 0.202686, 0.0150848, 0.0189654, 6.56422e-18, -0.0758469, -0.291154, 0.0413344, 0.0686606, 0.0674975, 0.0252245, 0.014017, 0.141222, 0.00392288, -0.105599, 0.0309341, -0.189147, -0.0231679, -0.209382, -0.150356, -0.0956935, 0.000542625, -0.108938, -0.0261815, -0.0303361, 0.0293263, 0.0238945, 0.0722056, -0.14004, 
0.101403, -0.139669, 0.178794, -0.00257184, -0.162383, 0.0245193, -0.0436172, 0.111831, 0.0313454, -2.02111e-17, 0.00969128, -0.00634184, 0.0643914, 0.0653302, -0.0481561, -0.0234292, 0.0663423, -0.100516, 0.113153, -0.0744603, 0.198169, -0.05389, 0.00587157, -0.0257827, 0.155819, -0.00606166, -0.010114, 0.165268, -0.0547793, 0.0273138, 0.0731025, 0.138783, 0.150323, -0.0117524, 
0.150119, -0.217047, 0.144338, -0.124887, -0.173649, 0.0729949, -0.0474426, -0.202603, -0.50901, -1.14701e-16, -0.0728708, -0.108055, -0.373827, -0.0897211, 0.0456181, 0.31743, -0.0790589, -0.0204128, -0.0855424, -0.156451, 0.0594636, -0.0745615, 0.0950672, -0.116354, 0.197242, -0.164943, 0.137486, 0.243127, 0.487803, -0.0960474, -0.344665, -0.0819731, 0.0327048, -0.15518, 
0.0570524, -0.0564126, -0.0657208, -0.0671935, -0.047966, 0.0777652, 0.0585895, -0.504772, -0.403814, -8.59043e-17, 0.00141153, -0.0431726, 0.111487, 0.412861, -0.0050401, 0.0978847, 0.0287785, 0.0877112, 0.036824, 0.285012, 0.0983835, 0.151452, -0.0572099, 0.124245, 0.064767, -0.0664325, 0.128472, 0.0614579, 0.422924, 0.000704533, 0.10492, 0.042306, 0.00606528, 0.0292571, 
0.0592065, -0.0754849, -0.0771023, 0.108791, 0.0677283, 0.101799, 0.0745366, -0.474992, 0.389925, 7.14087e-17, 0.0886645, -0.160392, 0.061572, 0.0919217, -0.203294, 0.173293, 0.330657, -0.0463023, 0.100729, -0.348662, -0.0709242, -0.0338515, -0.0020184, 0.1232, 0.0693401, 0.109631, 0.108571, -0.0847754, -0.340513, 0.0443241, 0.0303463, 0.0988401, 0.0313563, 0.336283, 
0.0755794, -0.115965, 0.0877759, 0.0917658, -0.0103566, 0.0325698, 0.0403141, 0.0600202, -0.226325, -6.27833e-17, -0.0180135, -0.141322, -0.369172, -0.341906, -0.203211, -0.25346, 0.265723, -0.00267972, -0.0620391, -0.250051, -0.395529, 0.0286203, -0.0514259, 0.113498, 0.136491, 0.099748, 0.0568898, 0.0700682, 0.189638, -0.0684363, -0.288426, -0.0351632, 0.324555, 0.183134, 
0.133477, -0.10305, 0.104648, 0.305911, 0.070546, -0.0211348, -0.0245198, -0.301146, 0.356819, 6.21174e-17, -0.0128679, 0.183372, -0.251383, -0.232242, 0.00746935, 0.160333, -0.0663534, 0.251829, -0.202763, -0.0249044, 0.333038, 0.188519, 0.0629909, -0.114996, 0.153884, 0.298965, -0.014071, -0.0039564, -0.385412, -0.0259558, -0.177009, -0.211029, 0.0351257, -0.0290145, 
0.131078, -0.0686476, 0.0625866, 0.303283, -0.00421161, -0.0227195, 0.0591632, -0.16345, -0.126427, -4.23954e-17, -0.00888638, 0.226494, 0.171276, 0.307219, -0.127765, -0.433143, 0.167804, 0.0750339, 0.0147538, -0.0490849, -0.25051, -0.211713, 0.241754, -0.0445094, 0.0997852, 0.266362, -0.0140534, 0.0427662, 0.123644, 0.0347306, 0.177104, -0.0191146, 0.131669, 0.148925, 
0.134961, -0.206579, 0.127067, 0.00703434, -0.103231, 0.0607149, -0.0406926, 0.0500825, 0.383042, 4.12134e-17, 0.0635426, -0.174141, -0.446944, 0.364226, 0.0840056, 0.0356225, -0.112783, -0.122904, -0.0637384, 0.438536, -0.347534, -0.163344, -0.0983294, -0.0353225, 0.217942, -0.0175994, 0.0260888, 0.176261, -0.381273, 0.0266519, -0.502103, -0.0246693, -0.0217167, -0.136933, 
0.174758, -0.0966873, 0.157514, -0.0602118, -0.196064, -0.0664453, 0.353505, 0.202463, 0.0702371, -4.74526e-17, 0.0551297, -0.113626, 0.243063, -0.0711451, -0.0937454, 0.289441, -0.0877621, 0.25158, -0.0689084, 0.0967242, -0.230945, 0.234282, 0.513088, 0.297811, 0.0874961, -0.0680502, -0.0411229, 0.151106, -0.0778306, 0.07685, 0.252505, -0.0477121, 0.119923, -0.0311909, 
0.191034, -0.102235, 0.267358, -0.183023, 0.0109331, 0.146138, -0.192824, -0.389424, 0.0975584, 2.29095e-17, -0.0781788, -0.0871411, 0.351807, -0.455882, 0.201834, -0.227589, -0.294293, -0.115057, 0.132757, 0.147722, -0.201525, -0.0910989, -0.0370119, 0.0289959, 0.104392, -0.16328, 0.132978, 3.19788e-05, -0.136737, -0.0411895, 0.395011, 0.166751, -0.089081, -0.283827, 
0.308644, -0.324556, -0.281354, 0.332304, 0.369678, 0.0372356, 0.163884, 0.169718, -0.155701, -5.96272e-17, 0.0167856, 0.0264608, 0.183048, -0.223853, -0.100886, 0.284812, 0.0949893, -0.223817, 0.0824254, 0.299397, 0.0180894, -0.197976, -0.122327, -0.0770245, 0.331839, 0.329714, 0.057837, -0.439363, 0.206482, -0.00609837, 0.134138, 0.0243124, -0.0908074, 0.206882, 
0.373363, -0.370589, -0.520937, -0.323437, 0.135447, 0.0342751, -0.05757, 0.0885093, 0.0901639, 1.15946e-18, -0.0331415, -0.0358858, -0.089484, 0.129512, 0.158308, -0.310193, -0.164124, 0.12014, 0.0119789, -0.240394, 0.103951, 0.175357, 0.119867, 0.0693049, 0.340538, -0.333379, 0.00257238, -0.189473, -0.0243366, -0.0515607, -0.12638, -0.0943867, -0.580596, 0.162838, 
